URL_SCL_E,Time,Duration,Name,Available Slots,Trainer,Room
https://www.eversports.de/e/class/oDf7HhT3nHM,17:00,55 Min,Pole Technik Beginner,"ab 20,00 €5 freie Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/M4zQ6AOdqYo,18:10,55 Min,Pole in Heels,"ab 20,00 €mehr als 5 Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/F3ehQH4KBqT,19:20,55 Min,Pole Technik Mittelstufe,"ab 20,00 €1 freier Platz",Unbekannt,Unbekannt
https://www.eversports.de/e/class/TXCgZDI,11:00,60 Min,65 Plus,1 freier Platz,Ramona,Tanzraum
https://www.eversports.de/e/class/c_Ni8Y4,14:50,45 Min,Little Koalas,ausgebucht,Lara,Tanzraum
https://www.eversports.de/e/class/Xd2Hq9g,15:45,45 Min,Wicked Kids,ausgebucht,Laura,Tanzraum
https://www.eversports.de/e/class/ILnj9-6,16:45,60 Min,Hip Hop Squad,mehr als 5 Plätze,Laura,Tanzraum
https://www.eversports.de/e/class/QRsExuGsT_q,15:00,60 Min,Little Swans,4 freie Plätze,Ramona,Tanzraum
https://www.eversports.de/e/class/r6cYlKHXx5w,16:15,60 Min,New Sensation,ausgebucht,Ramona,Tanzraum
https://www.eversports.de/e/class/UJOFani,15:15,45 Min,Lollipop Kids,ausgebucht,Ramona,Tanzraum
https://www.eversports.de/e/class/Tvcb3gq,14:50,45 Min,Little Kangaroos,ausgebucht,Lara,Tanzraum
https://www.eversports.de/e/class/Z7lBr_p,15:50,45 Min,Charmed Kids,3 freie Plätze,Lara,Tanzraum
https://www.eversports.de/e/class/OC3j4nu,18:00,60 Min,Pole Dance Intermediate Gruppe A (Level4),1 freier Platz,Kim,Tanzraum
https://www.eversports.de/e/class/QFgPl_G,19:10,60 Min,Pole Dance Basic Gruppe B (Level2),1 freier Platz,Ramona,Tanzraum
https://www.eversports.de/e/class/U0ZQjh5,17:30,60 Min,Rhythm Attack,1 freier Platz,Ramona,Tanzraum
https://www.eversports.de/e/class/OtZT2ab,18:45,60 Min,Diversity,3 freie Plätze,Ramona,Tanzraum
https://www.eversports.de/e/class/LOYn2fE,20:00,60 Min,twerXout + Stretching,5 freie Plätze,Ramona,Tanzraum
https://www.eversports.de/e/class/rDg5u5A,17:15,75 Min,Special Lights,mehr als 5 Plätze,Ramona,Tanzraum
https://www.eversports.de/e/class/Hv5v8mU,18:45,60 Min,Contemporary,ausgebucht,Ramona,Tanzraum
https://www.eversports.de/e/class/2EqwWEl,20:00,60 Min,Pole Dance Intermediate Gruppe B (Level3),ausgebucht,Ramona,Tanzraum
https://www.eversports.de/e/class/dXnIiWN,17:50,75 Min,Atomic Dancers,mehr als 5 Plätze,Ramona,Tanzraum
https://www.eversports.de/e/class/kHlojDg,20:25,60 Min,Pole Dance Basic Gruppe A (Level1-2),ausgebucht,Ramona,Tanzraum
https://www.eversports.de/e/class/mYvKLFg,17:50,60 Min,Pole Dance Basic Gruppe C (Level2),ausgebucht,Ramona,Tanzraum
